EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_8_nivel_86125130,inp08_input_8_nivel_D_10h_86125130,inp09_input_8_nivel_D_11h_86125130,inp10_input_8_nivel_D_12h_86125130,inp11_input_12_nivel_D_2h_86472600,inp12_input_13_nivel_D_4h_86472600,saida_12h_alt_nivel_D12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,105,-8,-9,-10,-9,-21,-7,398,391,398,delta_alt,391,388.45467729906,-7,-9.545322700940005,-2.545322700940005,2.545322700940005,6.478667651920524,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,104,-7,-9,-10,-7,-17,-1,395,394,395,delta_alt,394,389.0620568686664,-1,-5.937943131333554,-4.937943131333554,4.937943131333554,24.38328236828423,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,113,5,4,4,-6,-11,10,384,394,384,delta_alt,394,420.5717875973589,10,36.57178759735893,26.57178759735893,26.57178759735893,706.0598961191581,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,139,33,33,31,-1,-6,15,381,396,381,delta_alt,396,497.6069076125074,15,116.6069076125074,101.6069076125074,101.6069076125074,10323.96367457661,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,142,37,36,36,0,-2,22,382,404,382,delta_alt,404,511.9439827423479,22,129.9439827423479,107.9439827423479,107.9439827423479,11651.9034102803,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,148,11,29,35,-1,0,132,394,526,394,delta_alt,526,492.1950086168838,132,98.1950086168838,-33.8049913831162,33.8049913831162,1142.777442412561,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,145,6,8,26,0,-1,133,394,527,394,delta_alt,527,478.9837022026649,133,84.98370220266486,-48.01629779733514,48.01629779733514,2305.564854162371,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,143,1,4,6,0,-1,133,394,527,394,delta_alt,527,485.3905627836591,133,91.3905627836591,-41.60943721634089,41.60943721634089,1731.345265460615,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,141,-2,-1,2,2,2,130,396,526,396,delta_alt,526,485.5901046788748,130,89.59010467887481,-40.40989532112519,40.40989532112519,1632.959639864296,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,140,-5,-3,-2,10,10,120,404,524,404,delta_alt,524,499.5809166453057,120,95.5809166453057,-24.41908335469429,24.41908335469429,596.291631883508,404,14400,2,Validacao
