EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,saida_12h_alt_nivel_D12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,-7,398,391,398,delta_alt,391,398.211739922374,-7,0.2117399223740222,7.211739922374022,7.211739922374022,52.00919270796327,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,-1,395,394,395,delta_alt,394,397.8646677450261,-1,2.864667745026054,3.864667745026054,3.864667745026054,14.93565677944476,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,10,384,394,384,delta_alt,394,403.5046248838192,10,19.50462488381925,9.504624883819247,9.504624883819247,90.33789418211603,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,15,381,396,381,delta_alt,396,411.7436035736399,15,30.74360357363992,15.74360357363992,15.74360357363992,247.8610534839275,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,22,382,404,382,delta_alt,404,419.9057994817163,22,37.90579948171626,15.90579948171626,15.90579948171626,252.9944571525652,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,132,394,526,394,delta_alt,526,493.647485593226,132,99.64748559322595,-32.35251440677405,32.35251440677405,1046.685188440522,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,133,394,527,394,delta_alt,527,498.4070584404969,133,104.4070584404969,-28.59294155950306,28.59294155950306,817.5563070251573,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,133,394,527,394,delta_alt,527,506.7238874195127,133,112.7238874195127,-20.27611258048728,20.27611258048728,411.1207413765945,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,130,396,526,396,delta_alt,526,534.665261061896,130,138.665261061896,8.66526106189599,8.66526106189599,75.08674927081081,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,120,404,524,404,delta_alt,524,542.742476870884,120,138.742476870884,18.74247687088405,18.74247687088405,351.2804392556235,404,14400,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,17,526,543,526,delta_alt,543,545.7871748027035,17,19.78717480270348,2.787174802703476,2.787174802703476,7.768343380825158,526,289,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,33,527,560,527,delta_alt,560,539.472437012714,33,12.47243701271395,-20.52756298728605,20.52756298728605,421.380842196996,527,1089,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,36,526,562,526,delta_alt,562,544.2983200979419,36,18.29832009794188,-17.70167990205812,17.70167990205812,313.3494713549283,526,1296,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,28,524,552,524,delta_alt,552,542.4187238060988,28,18.4187238060988,-9.581276193901203,9.581276193901203,91.80085350381793,524,784,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,-15,533,518,533,delta_alt,518,567.6854106460686,-15,34.68541064606859,49.68541064606859,49.68541064606859,2468.640031068466,533,225,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,-14,553,539,553,delta_alt,539,579.7971164460541,-14,26.79711644605413,40.79711644605413,40.79711644605413,1664.404710312901,553,196,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,659,-19,-18,4,-18,-16,560,544,560,delta_alt,544,554.8293400221405,-16,-5.170659977859486,10.82934002214051,10.82934002214051,117.2746053151343,560,256,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,633,-26,-45,-36,-24,-16,562,546,562,delta_alt,546,531.631846843842,-16,-30.36815315615797,-14.36815315615797,14.36815315615797,206.4438251188123,562,256,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,594,-3,-11,-39,-8,9,510,519,510,delta_alt,519,474.5137165134524,9,-35.48628348654756,-44.48628348654756,44.48628348654756,1979.029418445474,510,81,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,14936,-29,-36,659,15,26,65,1,-23,518,495,518,delta_alt,495,506.4558167907435,-23,-11.54418320925652,11.45581679074348,11.45581679074348,131.2357383430803,518,529,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-65,-48,648,-10,-15,4,9,-78,544,466,544,delta_alt,466,461.1012766766435,-78,-82.89872332335653,-4.898723323356535,4.898723323356535,23.99749019879729,544,6084,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-71,-67,639,-9,-19,-20,17,-85,546,461,546,delta_alt,461,476.4945810184475,-85,-69.50541898155245,15.49458101844755,15.49458101844755,240.082040937235,546,7225,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-78,-73,627,-12,-21,-36,3,-79,540,461,540,delta_alt,461,453.5066806986143,-79,-86.49331930138567,-7.493319301385668,7.493319301385668,56.149834152519,540,6241,2,Validacao
2,3,Teste,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,11,8,452,7,19,90,6,160,336,496,336,delta_alt,496,500.768741512702,160,164.768741512702,4.768741512702036,4.768741512702036,22.7408956149677,336,25600,3,Teste
2,3,Teste,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,9,8,461,9,16,61,7,142,367,509,367,delta_alt,509,541.2735037201348,142,174.2735037201348,32.27350372013484,32.27350372013484,1041.579042373557,367,20164,3,Teste
2,3,Teste,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,22,24,475,14,23,42,13,158,387,545,387,delta_alt,545,565.526235923701,158,178.5262359237011,20.52623592370105,20.52623592370105,421.3263611954355,387,24964,3,Teste
