EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_7_nivel_86472000,inp05_input_7_nivel_D_1h_86472000,inp06_input_7_nivel_D_2h_86472000,inp07_input_7_nivel_D_4h_86472000,inp08_input_7_nivel_A_12h_86472000,inp09_input_8_nivel_86125130,inp10_input_8_nivel_D_10h_86125130,inp11_input_8_nivel_D_11h_86125130,inp12_input_8_nivel_D_12h_86125130,inp13_input_12_nivel_D_2h_86472600,inp14_input_13_nivel_D_4h_86472600,saida_12h_alt_nivel_D12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,479,-2,-5,-13,-9,105,-8,-9,-10,-9,-21,-7,398,391,398,delta_alt,391,373.449192787043,-7,-24.55080721295701,-17.55080721295701,17.55080721295701,308.0308338263839,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,477,-2,-4,-11,-7,104,-7,-9,-10,-7,-17,-1,395,394,395,delta_alt,394,375.4312182419726,-1,-19.5687817580274,-18.5687817580274,18.5687817580274,344.7996559772511,395,1,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,471,0,-3,-8,12,106,-3,-3,-4,-5,-11,7,387,394,387,delta_alt,394,395.956978995975,7,8.956978995974964,1.956978995974964,1.956978995974964,3.829766790687179,387,49,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,469,-2,-2,-8,9,113,5,4,4,-6,-11,10,384,394,384,delta_alt,394,418.175727606465,10,34.17572760646499,24.17572760646499,24.17572760646499,584.4658053019933,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,470,2,2,-1,8,139,33,33,31,-1,-6,15,381,396,381,delta_alt,396,512.5151558174786,15,131.5151558174786,116.5151558174786,116.5151558174786,13575.78153517131,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,474,4,6,5,8,142,37,36,36,0,-2,22,382,404,382,delta_alt,404,529.6590769029071,22,147.6590769029071,125.6590769029071,125.6590769029071,15790.20360809073,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,478,2,3,1,4,148,11,29,35,-1,0,132,394,526,394,delta_alt,526,484.0310505963892,132,90.03105059638915,-41.96894940361085,41.96894940361085,1761.392714042848,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,484,6,8,8,7,145,6,8,26,0,-1,133,394,527,394,delta_alt,527,459.1881694308825,133,65.18816943088245,-67.81183056911755,67.81183056911755,4598.444365134705,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,497,13,19,22,13,143,1,4,6,0,-1,133,394,527,394,delta_alt,527,449.8307973005014,133,55.83079730050144,-77.16920269949856,77.16920269949856,5955.085845276295,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,535,38,51,59,36,141,-2,-1,2,2,2,130,396,526,396,delta_alt,526,461.4554307935778,130,65.45543079357776,-64.54456920642224,64.54456920642224,4166.00141404263,396,16900,2,Validacao
