EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,inp12_input_11_nivel_86507000,inp13_input_11_nivel_D_14h_86507000,inp14_input_11_nivel_D_16h_86507000,saida_12h_alt_nivel_D12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,3,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,234,-25,-24,-7,398,391,398,delta_alt,391,384.5571720466786,-7,-13.4428279533214,-6.442827953321398,6.442827953321398,41.5100320360996,398,49,3,Teste
1,3,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,227,-31,-31,-1,395,394,395,delta_alt,394,381.5623125390241,-1,-13.43768746097589,-12.43768746097589,12.43768746097589,154.696069376917,395,1,3,Teste
1,3,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,274,17,17,15,381,396,381,delta_alt,396,386.7110389075427,15,5.711038907542672,-9.288961092457328,9.288961092457328,86.28479817718603,381,225,3,Teste
1,3,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,277,21,20,22,382,404,382,delta_alt,404,390.8514996302432,22,8.851499630243154,-13.14850036975685,13.14850036975685,172.8830619734959,382,484,3,Teste
1,3,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,320,97,93,132,394,526,394,delta_alt,526,443.9946661840635,132,49.99466618406348,-82.00533381593652,82.00533381593652,6724.874774263182,394,17424,3,Teste
1,3,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,431,207,208,133,394,527,394,delta_alt,527,473.0153821408114,133,79.01538214081137,-53.98461785918863,53.98461785918863,2914.338965402628,394,17689,3,Teste
1,3,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,459,224,236,133,394,527,394,delta_alt,527,484.9157688616116,133,90.91576886161158,-42.08423113838842,42.08423113838842,1771.082510509301,394,17689,3,Teste
1,3,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,457,204,233,130,396,526,396,delta_alt,526,501.5770326122532,130,105.5770326122532,-24.42296738774678,24.42296738774678,596.4813360229427,396,16900,3,Teste
1,3,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,453,186,218,120,404,524,404,delta_alt,524,510.7541599315787,120,106.7541599315787,-13.24584006842127,13.24584006842127,175.4522791181945,404,14400,3,Teste
1,3,Teste,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,392,113,106,17,526,543,526,delta_alt,543,567.1428816299268,17,41.14288162992682,24.14288162992682,24.14288162992682,582.8787333966578,526,289,3,Teste
1,3,Teste,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,385,65,106,33,527,560,527,delta_alt,560,560.7045238699213,33,33.70452386992133,0.7045238699213314,0.7045238699213314,0.4963538832889291,527,1089,3,Teste
1,3,Teste,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,385,-46,109,36,526,562,526,delta_alt,562,551.5814487095663,36,25.5814487095663,-10.4185512904337,10.4185512904337,108.5462109913977,526,1296,3,Teste
1,3,Teste,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,385,-74,65,28,524,552,524,delta_alt,552,545.2809392710212,28,21.28093927102123,-6.719060728978775,6.719060728978775,45.14577707970479,524,784,3,Teste
1,3,Teste,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,356,-58,-75,-15,533,518,533,delta_alt,518,555.6427016792077,-15,22.64270167920768,37.64270167920768,37.64270167920768,1416.972989709824,533,225,3,Teste
1,3,Teste,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,346,-53,-68,-14,553,539,553,delta_alt,539,573.6640003943678,-14,20.6640003943678,34.6640003943678,34.6640003943678,1201.592923340731,553,196,3,Teste
1,3,Teste,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,659,-19,-18,4,-18,340,-52,-65,-16,560,544,560,delta_alt,544,569.6377316598492,-16,9.637731659849237,25.63773165984924,25.63773165984924,657.2932846624359,560,256,3,Teste
1,3,Teste,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,633,-26,-45,-36,-24,335,-53,-64,-16,562,546,562,delta_alt,546,561.9389128925901,-16,-0.06108710740988954,15.93891289259011,15.93891289259011,254.0489441975753,562,256,3,Teste
1,3,Teste,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,594,-3,-11,-39,-8,319,-64,-66,9,510,519,510,delta_alt,519,504.4214016360079,9,-5.578598363992114,-14.57859836399211,14.57859836399211,212.5355302585936,510,81,3,Teste
