EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_8_nivel_86125130,inp08_input_8_nivel_D_10h_86125130,inp09_input_8_nivel_D_11h_86125130,inp10_input_8_nivel_D_12h_86125130,inp11_input_12_nivel_D_2h_86472600,inp12_input_13_nivel_D_4h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,105,-8,-9,-10,-9,-21,391,398,391,398,nivel_conv,391,376.4940060763051,-7,-21.50599392369486,-14.50599392369486,14.50599392369486,210.4238597142722,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,104,-7,-9,-10,-7,-17,394,395,394,395,nivel_conv,394,378.5855019570214,-1,-16.41449804297861,-15.41449804297861,15.41449804297861,237.6067499169913,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,113,5,4,4,-6,-11,394,384,394,384,nivel_conv,394,411.2361375039577,10,27.23613750395771,17.23613750395771,17.23613750395771,297.0844360553374,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,139,33,33,31,-1,-6,396,381,396,381,nivel_conv,396,474.514280151861,15,93.51428015186099,78.51428015186099,78.51428015186099,6164.492187764912,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,142,37,36,36,0,-2,404,382,404,382,nivel_conv,404,486.9458851207186,22,104.9458851207186,82.94588512071857,82.94588512071857,6880.019858459443,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,148,11,29,35,-1,0,526,394,526,394,nivel_conv,526,529.2952014981114,132,135.2952014981114,3.295201498111396,3.295201498111396,10.85835291315559,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,145,6,8,26,0,-1,527,394,527,394,nivel_conv,527,508.2287878575036,133,114.2287878575036,-18.77121214249644,18.77121214249644,352.3584052986057,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,143,1,4,6,0,-1,527,394,527,394,nivel_conv,527,493.4811874027419,133,99.48118740274185,-33.51881259725815,33.51881259725815,1123.510797930111,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,141,-2,-1,2,2,2,526,396,526,396,nivel_conv,526,490.4948413984873,130,94.49484139848732,-35.50515860151268,35.50515860151268,1260.616287318569,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,140,-5,-3,-2,10,10,524,404,524,404,nivel_conv,524,493.1979230505385,120,89.19792305053852,-30.80207694946148,30.80207694946148,948.7679444005462,404,14400,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,137,-6,-8,-11,6,21,543,526,543,526,nivel_conv,543,470.4932132886287,17,-55.50678671137126,-72.50678671137126,72.50678671137126,5257.234119208284,526,289,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,134,-6,-7,-9,1,7,560,527,560,527,nivel_conv,560,464.3909663153605,33,-62.60903368463954,-95.60903368463954,95.60903368463954,9141.08732211054,527,1089,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,133,-6,-7,-8,-1,2,562,526,562,526,nivel_conv,562,468.2538604663421,36,-57.74613953365792,-93.74613953365792,93.74613953365792,8788.33867746406,526,1296,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,133,-8,-6,-7,-3,-2,552,524,552,524,nivel_conv,552,471.0369402167673,28,-52.96305978323272,-80.96305978323272,80.96305978323272,6555.017049463316,524,784,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,126,-10,-11,-12,15,16,518,533,518,533,nivel_conv,518,466.2949979352418,-15,-66.70500206475816,-51.70500206475816,51.70500206475816,2673.407238516646,533,225,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,125,-8,-9,-11,20,35,539,553,539,553,nivel_conv,539,484.3317111892388,-14,-68.66828881076117,-54.66828881076117,54.66828881076117,2988.621801496795,553,196,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,123,-10,-10,-11,17,36,544,560,544,560,nivel_conv,544,481.1830948162757,-16,-78.81690518372426,-62.81690518372426,62.81690518372426,3945.963576861004,560,256,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,123,-9,-10,-10,9,29,546,562,546,562,nivel_conv,546,475.2070212713972,-16,-86.7929787286028,-70.7929787286028,70.7929787286028,5011.645837268409,562,256,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,122,-7,-9,-9,-26,-52,519,510,519,510,nivel_conv,519,425.8350672043111,9,-84.16493279568891,-93.16493279568891,93.16493279568891,8679.704702825231,510,81,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,14936,-29,-36,119,-6,-7,-7,21,8,495,518,495,518,nivel_conv,495,436.451192497979,-23,-81.54880750202096,-58.54880750202096,58.54880750202096,3427.962859908706,518,529,2,Validacao
