EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_7_nivel_86472000,inp05_input_7_nivel_D_1h_86472000,inp06_input_7_nivel_D_2h_86472000,inp07_input_7_nivel_D_4h_86472000,inp08_input_7_nivel_A_12h_86472000,inp09_input_8_nivel_86125130,inp10_input_8_nivel_D_10h_86125130,inp11_input_8_nivel_D_11h_86125130,inp12_input_8_nivel_D_12h_86125130,inp13_input_12_nivel_D_2h_86472600,inp14_input_13_nivel_D_4h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,479,-2,-5,-13,-9,105,-8,-9,-10,-9,-21,391,398,391,398,nivel_conv,391,407.0745301928515,-7,9.074530192851512,16.07453019285151,16.07453019285151,258.3905209208949,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,477,-2,-4,-11,-7,104,-7,-9,-10,-7,-17,394,395,394,395,nivel_conv,394,406.2493620984808,-1,11.24936209848084,12.24936209848084,12.24936209848084,150.046871819699,395,1,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,471,0,-3,-8,12,106,-3,-3,-4,-5,-11,394,387,394,387,nivel_conv,394,396.2193276704284,7,9.219327670428356,2.219327670428356,2.219327670428356,4.925415308728954,387,49,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,469,-2,-2,-8,9,113,5,4,4,-6,-11,394,384,394,384,nivel_conv,394,388.9299612821901,10,4.929961282190106,-5.070038717809894,5.070038717809894,25.70529260009139,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,470,2,2,-1,8,139,33,33,31,-1,-6,396,381,396,381,nivel_conv,396,449.158484079187,15,68.15848407918702,53.15848407918702,53.15848407918702,2825.82442959718,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,474,4,6,5,8,142,37,36,36,0,-2,404,382,404,382,nivel_conv,404,466.1768360798267,22,84.17683607982667,62.17683607982667,62.17683607982667,3865.958944897636,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,478,2,3,1,4,148,11,29,35,-1,0,526,394,526,394,nivel_conv,526,447.3508202169689,132,53.35082021696894,-78.64917978303106,78.64917978303106,6185.693480543541,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,484,6,8,8,7,145,6,8,26,0,-1,527,394,527,394,nivel_conv,527,410.3940127409977,133,16.39401274099765,-116.6059872590023,116.6059872590023,13596.95626464662,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,497,13,19,22,13,143,1,4,6,0,-1,527,394,527,394,nivel_conv,527,424.2022392983011,133,30.20223929830109,-102.7977607016989,102.7977607016989,10567.37960528375,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,535,38,51,59,36,141,-2,-1,2,2,2,526,396,526,396,nivel_conv,526,422.977051367288,130,26.97705136728797,-103.022948632712,103.022948632712,10613.72794497842,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,567,32,70,89,28,140,-5,-3,-2,10,10,524,404,524,404,nivel_conv,524,462.1038926822183,120,58.10389268221832,-61.89610731778168,61.89610731778168,3831.128101094348,404,14400,2,Validacao
