EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,3,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,391,398,391,398,nivel_conv,391,374.2618175484539,-7,-23.73818245154609,-16.73818245154609,16.73818245154609,280.1667517812456,398,49,3,Teste
1,3,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,394,395,394,395,nivel_conv,394,373.8971843635632,-1,-21.10281563643679,-20.10281563643679,20.10281563643679,404.1231965125674,395,1,3,Teste
1,3,Teste,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,394,384,394,384,nivel_conv,394,382.4495788893969,10,-1.550421110603054,-11.55042111060305,11.55042111060305,133.4122278322647,384,100,3,Teste
1,3,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,396,381,396,381,nivel_conv,396,386.414248142763,15,5.414248142763029,-9.585751857236971,9.585751857236971,91.88663866852204,381,225,3,Teste
1,3,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,404,382,404,382,nivel_conv,404,390.9676999561309,22,8.9676999561309,-13.0323000438691,13.0323000438691,169.8408444334305,382,484,3,Teste
1,3,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,526,394,526,394,nivel_conv,526,456.4902290719468,132,62.49022907194677,-69.50977092805323,69.50977092805323,4831.608254470434,394,17424,3,Teste
1,3,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,527,394,527,394,nivel_conv,527,460.1823666339613,133,66.1823666339613,-66.8176333660387,66.8176333660387,4464.596128638369,394,17689,3,Teste
1,3,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,527,394,527,394,nivel_conv,527,467.9169496340032,133,73.91694963400317,-59.08305036599683,59.08305036599683,3490.806840550918,394,17689,3,Teste
1,3,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,526,396,526,396,nivel_conv,526,500.3437075213392,130,104.3437075213392,-25.65629247866082,25.65629247866082,658.2453437505876,396,16900,3,Teste
1,3,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,524,404,524,404,nivel_conv,524,496.6409413389344,120,92.6409413389344,-27.3590586610656,27.3590586610656,748.5180908196288,404,14400,3,Teste
1,3,Teste,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,543,526,543,526,nivel_conv,543,504.2227091756967,17,-21.77729082430329,-38.77729082430329,38.77729082430329,1503.678283672596,526,289,3,Teste
1,3,Teste,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,560,527,560,527,nivel_conv,560,501.6154856818611,33,-25.38451431813894,-58.38451431813894,58.38451431813894,3408.751512164971,527,1089,3,Teste
1,3,Teste,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,562,526,562,526,nivel_conv,562,507.3527361598765,36,-18.64726384012346,-54.64726384012346,54.64726384012346,2986.323445212065,526,1296,3,Teste
1,3,Teste,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,552,524,552,524,nivel_conv,552,506.6596773335982,28,-17.34032266640179,-45.34032266640179,45.34032266640179,2055.744859493428,524,784,3,Teste
1,3,Teste,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,518,533,518,533,nivel_conv,518,509.8356286107714,-15,-23.16437138922862,-8.16437138922862,8.16437138922862,66.65696018125487,533,225,3,Teste
1,3,Teste,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,539,553,539,553,nivel_conv,539,522.4278794684751,-14,-30.57212053152489,-16.57212053152489,16.57212053152489,274.6351789113887,553,196,3,Teste
1,3,Teste,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,659,-19,-18,4,-18,544,560,544,560,nivel_conv,544,506.444004705786,-16,-53.55599529421403,-37.55599529421403,37.55599529421403,1410.452782539026,560,256,3,Teste
1,3,Teste,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,633,-26,-45,-36,-24,546,562,546,562,nivel_conv,546,498.8703953979752,-16,-63.12960460202481,-47.12960460202481,47.12960460202481,2221.199629943198,562,256,3,Teste
1,3,Teste,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,594,-3,-11,-39,-8,519,510,519,510,nivel_conv,519,451.4358875914524,9,-58.5641124085476,-67.5641124085476,67.5641124085476,4564.909285554856,510,81,3,Teste
1,3,Teste,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,14936,-29,-36,659,15,26,65,1,495,518,495,518,nivel_conv,495,441.9311199966967,-23,-76.06888000330332,-53.06888000330332,53.06888000330332,2816.306024805007,518,529,3,Teste
