EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,inp12_input_12_nivel_D_2h_86472600,inp13_input_13_nivel_D_4h_86472600,inp14_input_16_nivel_A_1h_86472600,inp15_input_17_nivel_A_2h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,3,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,-9,-21,1,1,391,398,391,398,nivel_conv,391,360.1571076503844,-7,-37.84289234961557,-30.84289234961557,30.84289234961557,951.2840084899746,398,49,3,Teste
1,3,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,-7,-17,1,2,394,395,394,395,nivel_conv,394,360.4726776970761,-1,-34.52732230292389,-33.52732230292389,33.52732230292389,1124.081340804138,395,1,3,Teste
1,3,Teste,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,-6,-11,0,-1,394,384,394,384,nivel_conv,394,365.062303196556,10,-18.937696803444,-28.937696803444,28.937696803444,837.390296288053,384,100,3,Teste
1,3,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,-1,-6,-1,1,396,381,396,381,nivel_conv,396,369.6502817070914,15,-11.34971829290856,-26.34971829290856,26.34971829290856,694.3076541156402,381,225,3,Teste
1,3,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,0,-2,2,1,404,382,404,382,nivel_conv,404,376.0255935692008,22,-5.974406430799206,-27.97440643079921,27.97440643079921,782.56741515554,382,484,3,Teste
1,3,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,-1,0,1,0,526,394,526,394,nivel_conv,526,457.9727596307904,132,63.97275963079039,-68.02724036920961,68.02724036920961,4627.705432250222,394,17424,3,Teste
1,3,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,0,-1,0,1,527,394,527,394,nivel_conv,527,465.3277464854737,133,71.32774648547371,-61.67225351452629,61.67225351452629,3803.46685356,394,17689,3,Teste
1,3,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,0,-1,0,0,527,394,527,394,nivel_conv,527,476.9131666969449,133,82.91316669694487,-50.08683330305513,50.08683330305513,2508.690870328032,394,17689,3,Teste
1,3,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,2,2,2,2,526,396,526,396,nivel_conv,526,515.8511862578396,130,119.8511862578396,-10.14881374216043,10.14881374216043,102.9984203730643,396,16900,3,Teste
1,3,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,10,10,6,8,524,404,524,404,nivel_conv,524,518.8797230325596,120,114.8797230325596,-5.120276967440418,5.120276967440418,26.21723622330084,404,14400,3,Teste
1,3,Teste,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,6,21,-2,-4,543,526,543,526,nivel_conv,543,494.6931727184108,17,-31.30682728158922,-48.30682728158922,48.30682728158922,2333.549562013293,526,289,3,Teste
1,3,Teste,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,1,7,-1,-2,560,527,560,527,nivel_conv,560,489.8197895390169,33,-37.18021046098306,-70.18021046098306,70.18021046098306,4925.261940347877,527,1089,3,Teste
1,3,Teste,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,-1,2,-1,-2,562,526,562,526,nivel_conv,562,494.5242838261292,36,-31.47571617387081,-67.47571617387081,67.47571617387081,4552.972273176771,526,1296,3,Teste
1,3,Teste,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,-3,-2,-1,-2,552,524,552,524,nivel_conv,552,495.0561215582567,28,-28.94387844174327,-56.94387844174327,56.94387844174327,3242.605291988034,524,784,3,Teste
1,3,Teste,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,15,16,3,8,518,533,518,533,nivel_conv,518,518.7756005168022,-15,-14.22439948319777,0.7756005168022284,0.7756005168022284,0.6015561616638838,533,225,3,Teste
1,3,Teste,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,20,35,0,1,539,553,539,553,nivel_conv,539,531.0343825286095,-14,-21.96561747139049,-7.965617471390487,7.965617471390487,63.45106170052139,553,196,3,Teste
1,3,Teste,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,659,-19,-18,4,-18,17,36,-3,-3,544,560,544,560,nivel_conv,544,509.8010980503277,-16,-50.19890194967229,-34.19890194967229,34.19890194967229,1169.564894563299,560,256,3,Teste
1,3,Teste,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,633,-26,-45,-36,-24,9,29,-5,-8,546,562,546,562,nivel_conv,546,495.1613615578943,-16,-66.83863844210566,-50.83863844210566,50.83863844210566,2584.567158647144,562,256,3,Teste
1,3,Teste,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,594,-3,-11,-39,-8,-26,-52,4,5,519,510,519,510,nivel_conv,519,444.4373855070386,9,-65.56261449296136,-74.56261449296136,74.56261449296136,5559.583480025971,510,81,3,Teste
1,3,Teste,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-65,-48,648,-10,-15,4,9,15,40,-5,-6,466,544,466,544,nivel_conv,466,409.2454617471216,-78,-134.7545382528784,-56.75453825287843,56.75453825287843,3221.077612297441,544,6084,3,Teste
1,3,Teste,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-71,-67,639,-9,-19,-20,17,7,28,-3,-8,461,546,461,546,nivel_conv,461,419.8512729416511,-85,-126.1487270583489,-41.14872705834892,41.14872705834892,1693.217738522497,546,7225,3,Teste
1,3,Teste,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-78,-73,627,-12,-21,-36,3,-4,11,-8,-11,461,540,461,540,nivel_conv,461,403.5491891282857,-79,-136.4508108717143,-57.45081087171428,57.45081087171428,3300.595669817484,540,6241,3,Teste
2,2,Validacao,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,11,8,452,7,19,90,6,51,65,15,25,496,336,496,336,nivel_conv,496,439.4434766838204,160,103.4434766838204,-56.55652331617955,56.55652331617955,3198.640329613561,336,25600,2,Validacao
2,2,Validacao,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,9,8,461,9,16,61,7,64,90,-2,13,509,367,509,367,nivel_conv,509,466.8882530260812,142,99.8882530260812,-42.1117469739188,42.1117469739188,1773.399233195359,367,20164,2,Validacao
2,2,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,22,24,475,14,23,42,13,51,102,-11,-13,545,387,545,387,nivel_conv,545,492.5014943365908,158,105.5014943365908,-52.49850566340922,52.49850566340922,2756.09309689101,387,24964,2,Validacao
2,2,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,44,47,493,18,32,48,18,33,97,-7,-18,625,400,625,400,nivel_conv,625,525.4406081603299,225,125.4406081603299,-99.55939183967007,99.55939183967007,9912.072503484964,400,50625,2,Validacao
2,2,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,78,82,511,18,36,59,19,39,90,13,6,699,426,699,426,nivel_conv,699,616.9742671867646,273,190.9742671867646,-82.02573281323544,82.02573281323544,6728.220843548289,426,74529,2,Validacao
2,2,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,109,114,525,14,32,64,14,46.60000000000002,79.60000000000002,-5.399999999999977,7.600000000000023,770,446.6,770,446.6,nivel_conv,770,644.6143556193222,323.4,198.0143556193221,-125.3856443806778,125.3856443806778,15721.55981675781,446.6,104587.56,2,Validacao
2,2,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,148,155,532,7,21,57,5,39,78,-2.200000000000045,-7.600000000000023,834,465,834,465,nivel_conv,834,690.321411773718,369,225.321411773718,-143.678588226282,143.678588226282,20643.53671469751,465,136161,2,Validacao
2,2,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,193,201,529,-3,4,36,-7,36.39999999999998,83,-0.3999999999999773,-2.600000000000023,867,483,867,483,nivel_conv,867,750.9347270338988,384,267.9347270338988,-116.0652729661012,116.0652729661012,13471.14758869559,483,147456,2,Validacao
2,2,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,255,260,522,-7,-10,11,-14,26,65,-10,-10.39999999999998,880,491,880,491,nivel_conv,880,808.8833154017195,389,317.8833154017195,-71.11668459828047,71.11668459828047,5057.582828251303,491,151321,2,Validacao
2,2,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,276,274,520,-2,-9,-5,-40,6,42.39999999999998,-10,-20,886,489,886,489,nivel_conv,886,833.7009003955052,397,344.7009003955052,-52.29909960449481,52.29909960449481,2735.195819440869,489,157609,2,Validacao
2,2,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,280,275,525,5,3,-7,-28,-5,21,-1,-11,888,486,888,486,nivel_conv,888,868.5038332962702,402,382.5038332962702,-19.49616670372984,19.49616670372984,380.1005161396241,486,161604,2,Validacao
2,2,Validacao,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,290,288,545,20,25,16,8,0,6,6,5,888,489,888,489,nivel_conv,888,937.6876035603161,399,448.6876035603161,49.68760356031612,49.68760356031612,2468.857947567139,489,159201,2,Validacao
2,2,Validacao,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,15002,286,284,604,59,79,82,52,10,5,4,10,883,496,883,496,nivel_conv,883,1016.438577831637,387,520.4385778316368,133.4385778316368,133.4385778316368,17805.85405372981,496,149769,2,Validacao
2,2,Validacao,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,15002,287,284,709,105,164,189,96,20,20,6,10,881,509,881,509,nivel_conv,881,1113.638582481906,372,604.6385824819058,232.6385824819058,232.6385824819058,54120.7100591905,509,138384,2,Validacao
2,2,Validacao,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,14999,270,283,800,91,196,275,77,49,59,23,29,877,545,877,545,nivel_conv,877,1132.928775341904,332,587.9287753419039,255.9287753419039,255.9287753419039,65499.53804800673,545,110224,2,Validacao
2,2,Validacao,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,15007,254,292,875,75,166,330,57,116,136,44,67,874,625,874,625,nivel_conv,874,1235.051438402503,249,610.0514384025028,361.0514384025028,361.0514384025028,130358.1411725162,625,62001,2,Validacao
2,2,Validacao,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,14993,204,264,978,103,178,374,85,154,203,-6,38,881,699,881,699,nivel_conv,881,1247.628010529137,182,548.6280105291369,366.6280105291369,366.6280105291369,134416.0981045529,699,33124,2,Validacao
2,2,Validacao,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,14989,166,236,1017,39,142,308,25,145,261,-3,-9,888,770,888,770,nivel_conv,888,1141.736373154412,118,371.7363731544124,253.7363731544124,253.7363731544124,64382.1470615552,770,13924,2,Validacao
2,2,Validacao,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,14992,126,203,1027,10,49,227,3,135,289,-7,-10,893,834,893,834,nivel_conv,893,1087.646275949311,59,253.6462759493108,194.6462759493108,194.6462759493108,37887.17274093527,834,3481,2,Validacao
2,2,Validacao,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,14994,79,171,1031,4,14,156,7,97,242,-31,-38,881,867,881,867,nivel_conv,881,1008.732497599986,14,141.7324975999859,127.7324975999859,127.7324975999859,16315.5909431304,867,196,2,Validacao
2,2,Validacao,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,14995,17,129,1036,5,9,58,12,46,181,-20,-51,868,880,868,880,nivel_conv,868,977.2804411916188,-12,97.28044119161882,109.2804411916188,109.2804411916188,11942.21482703486,880,144,2,Validacao
2,2,Validacao,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,14996,0,81,1036,0,5,19,2,19,116,-7,-27,856,886,856,886,nivel_conv,856,961.5954997155461,-30,75.59549971554611,105.5954997155461,105.5954997155461,11150.4095601759,886,900,2,Validacao
