EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_5a_nivel_86306000,inp07_input_5b_nivel_D-12H_86306000,inp08_input_7a_nivel_86472000,inp09_input_7b_nivel_D-2h_86472000,inp10_input_7c_nivel_A-14h_86472000,inp11_input_8a_nivel_86125130,inp12_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,148,-6,226,-26,479,-5,-19,105,-9,-17,398,381,386.6491124922786,-17,-11.35088750772138,5.649112492278618,5.649112492278618,31.91247195041834,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,147,-7,224,-23,477,-4,-14,104,-9,-13,395,382,385.6940789077702,-13,-9.305921092229823,3.694078907770177,3.694078907770177,13.6462189768325,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,146,-8,221,-17,471,-3,-33,106,-3,4,387,391,387.9255662302666,4,0.9255662302665542,-3.074433769733446,3.074433769733446,9.452143004477406,387,16,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,157,8,231,-3,470,2,11,139,33,13,381,394,425.0605068296667,13,44.06050682966668,31.06050682966668,31.06050682966668,964.7550845157704,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,162,13,235,3,474,6,12,142,36,12,382,394,434.9620986678287,12,52.96209866782874,40.96209866782874,40.96209866782874,1677.893527272937,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,221,68,364,142,478,3,5,148,29,111,394,505,479.967407332751,111,85.96740733275101,-25.03259266724899,25.03259266724899,626.630695644408,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,220,63,374,151,484,8,6,145,8,120,394,514,463.7993542763245,120,69.7993542763245,-50.20064572367551,50.20064572367551,2520.10483107398,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,220,58,380,153,497,19,15,143,4,126,394,520,458.0035771588688,126,64.00357715886878,-61.99642284113122,61.99642284113122,3843.556445096337,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,220,52,384,153,535,51,39,141,-1,128,396,524,455.659450765025,128,59.65945076502499,-68.34054923497501,68.34054923497501,4670.430669738044,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,223,47,387,152,567,70,32,140,-3,122,404,526,469.6432793540486,122,65.64327935404856,-56.35672064595144,56.35672064595144,3176.07996196581,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,218,-6,391,120,614,18,7,137,-14,19,505,524,532.9971146927579,19,27.99711469275792,8.997114692757918,8.997114692757918,80.94807279464041,505,361,2,Validacao
