EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_5a_nivel_86306000,inp07_input_5b_nivel_D-12H_86306000,inp08_input_7a_nivel_86472000,inp09_input_7b_nivel_D-2h_86472000,inp10_input_7c_nivel_A-14h_86472000,inp11_input_8a_nivel_86125130,inp12_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,148,-6,226,-26,479,-5,-19,105,-9,-17,398,381,387.6883416191058,-17,-10.31165838089419,6.688341619105813,6.688341619105813,44.73391361386297,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,147,-7,224,-23,477,-4,-14,104,-9,-13,395,382,386.3904162465209,-13,-8.609583753479114,4.390416246520886,4.390416246520886,19.27575481771454,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,146,-8,221,-17,471,-3,-33,106,-3,4,387,391,388.756852356238,4,1.756852356238028,-2.243147643761972,2.243147643761972,5.031711351714888,387,16,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,157,8,231,-3,470,2,11,139,33,13,381,394,417.4341212739463,13,36.43412127394629,23.43412127394629,23.43412127394629,549.1580398820221,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,162,13,235,3,474,6,12,142,36,12,382,394,426.9590597900313,12,44.95905979003135,32.95905979003135,32.95905979003135,1086.299622242861,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,221,68,364,142,478,3,5,148,29,111,394,505,491.1370450871423,111,97.13704508714227,-13.86295491285773,13.86295491285773,192.1815189159263,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,220,63,374,151,484,8,6,145,8,120,394,514,482.1544935052261,120,88.15449350522613,-31.84550649477387,31.84550649477387,1014.136283908685,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,220,58,380,153,497,19,15,143,4,126,394,520,476.3543911264143,126,82.35439112641427,-43.64560887358573,43.64560887358573,1904.939173946025,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,220,52,384,153,535,51,39,141,-1,128,396,524,471.5547532780467,128,75.55475327804675,-52.44524672195325,52.44524672195325,2750.503903726548,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,223,47,387,152,567,70,32,140,-3,122,404,526,482.9562447543254,122,78.95624475432544,-43.04375524567456,43.04375524567456,1852.764865649536,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,218,-6,391,120,614,18,7,137,-14,19,505,524,539.4158514226594,19,34.41585142265944,15.41585142265944,15.41585142265944,237.6484750855112,505,361,2,Validacao
1,2,Validacao,2023,5,6,16,0,202305061600,2023-05-06 16:00,520,6,20.44384615384615,236,15,390,71,622,8,4,136,-15,-1,520,519,545.5868932610562,-1,25.58689326105616,26.58689326105616,26.58689326105616,706.8628932747936,520,1,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,268,48,395,49,623,5,2,138,-10,-7,524,517,564.764300844029,-7,40.76430084402898,47.76430084402898,47.76430084402898,2281.428435118908,524,49,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,298,78,415,51,622,0,0,137,-8,-9,526,517,581.7435959678129,-9,55.74359596781289,64.7435959678129,64.7435959678129,4191.733218843398,526,81,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,317,94,494,114,621,-1,-3,134,-7,-3,527,524,598.750241948943,-3,71.75024194894297,74.75024194894297,74.75024194894297,5587.598671425513,527,9,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,309,86,540,153,615,-6,-17,133,-6,19,524,543,595.3706739872,19,71.3706739872,52.37067398720001,52.37067398720001,2742.687493873587,524,361,2,Validacao
1,2,Validacao,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,283,47,534,143,626,13,-4,131,-8,35,517,552,568.2296558361338,35,51.22965583613382,16.22965583613382,16.22965583613382,263.4017285593524,517,1225,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,268,-47,509,114,669,28,10,126,-11,-23,533,510,530.8854540948298,-23,-2.114545905170189,20.88545409482981,20.88545409482981,436.2021927472433,533,529,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,253,-56,506,12,659,-18,-18,123,-10,-56,560,504,535.6965591431497,-56,-24.30344085685033,31.69655914314967,31.69655914314967,1004.671861515185,560,3136,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,228,-51,501,-40,594,-11,-1,122,-9,36,510,546,464.4341061623868,36,-45.5658938376132,-81.5658938376132,81.5658938376132,6652.995037528787,510,1296,2,Validacao
