EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_7a_nivel_86472000,inp05_input_7b_nivel_D-2h_86472000,inp06_input_7c_nivel_A-14h_86472000,inp07_input_8a_nivel_86125130,inp08_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,479,-5,-19,105,-9,-17,398,381,379.1367836224537,-17,-18.86321637754634,-1.863216377546337,1.863216377546337,3.471575269556894,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,477,-4,-14,104,-9,-13,395,382,379.202248015813,-13,-15.79775198418702,-2.797751984187016,2.797751984187016,7.827416165022386,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,471,-3,-33,106,-3,4,387,391,384.4242630153204,4,-2.575736984679565,-6.575736984679565,6.575736984679565,43.2403168916827,387,16,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,469,-2,-5,113,4,10,384,394,396.3689286196095,10,12.36892861960951,2.368928619609505,2.368928619609505,5.611822804804997,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,470,2,11,139,33,13,381,394,451.2270205243685,13,70.22702052436853,57.22702052436853,57.22702052436853,3274.931878096497,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,474,6,12,142,36,12,382,394,463.1683811940688,12,81.16838119406884,69.16838119406884,69.16838119406884,4784.264957008017,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,478,3,5,148,29,111,394,505,461.9181284112354,111,67.91812841123544,-43.08187158876456,43.08187158876456,1856.047659590799,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,484,8,6,145,8,120,394,514,430.3779420700104,120,36.37794207001036,-83.62205792998964,83.62205792998964,6992.648572446543,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,497,19,15,143,4,126,394,520,427.1097389773055,126,33.10973897730548,-92.89026102269452,92.89026102269452,8628.60059286432,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,535,51,39,141,-1,128,396,524,435.4407289579019,128,39.44072895790191,-88.55927104209809,88.55927104209809,7842.744487507794,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,567,70,32,140,-3,122,404,526,454.710937234069,122,50.71093723406898,-71.28906276593102,71.28906276593102,5082.130470044853,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,614,18,7,137,-14,19,505,524,516.0953790108385,19,11.09537901083854,-7.904620989161458,7.904620989161458,62.48303298229187,505,361,2,Validacao
1,2,Validacao,2023,5,6,16,0,202305061600,2023-05-06 16:00,520,6,20.44384615384615,622,8,4,136,-15,-1,520,519,509.9391456841383,-1,-10.06085431586166,-9.060854315861661,9.060854315861661,82.0990809332689,520,1,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,623,5,2,138,-10,-7,524,517,515.6516181692764,-7,-8.34838183072361,-1.348381830723611,1.348381830723611,1.818133561425556,524,49,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,622,0,0,137,-8,-9,526,517,514.2483726139872,-9,-11.75162738601284,-2.751627386012842,2.751627386012842,7.571453271455867,526,81,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,621,-1,-3,134,-7,-3,527,524,510.9978601639533,-3,-16.00213983604669,-13.00213983604669,13.00213983604669,169.0556403161124,527,9,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,619,-3,-8,133,-7,7,526,533,506.9161305619249,7,-19.08386943807511,-26.08386943807511,26.08386943807511,680.3682448625489,526,49,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,615,-6,-17,133,-6,19,524,543,503.1410197878893,19,-20.85898021211074,-39.85898021211074,39.85898021211074,1588.738303549435,524,361,2,Validacao
1,2,Validacao,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,626,13,-4,131,-8,35,517,552,502.5350640721321,35,-14.46493592786794,-49.46493592786794,49.46493592786794,2446.779886348081,517,1225,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,669,28,10,126,-11,-23,533,510,526.1692490604946,-23,-6.830750939505378,16.16924906049462,16.16924906049462,261.4446151803062,533,529,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,678,9,0,125,-9,-56,553,497,541.1340048009076,-56,-11.86599519909237,44.13400480090763,44.13400480090763,1947.810379766538,553,3136,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,659,-18,-18,123,-10,-56,560,504,531.785908563706,-56,-28.21409143629398,27.78590856370602,27.78590856370602,772.0567147106314,560,3136,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,633,-45,-26,123,-10,-44,562,518,517.9834477480472,-44,-44.01655225195282,-0.01655225195281673,0.01655225195281673,0.0002739770447095253,562,1936,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,594,-11,-1,122,-9,36,510,546,460.418832305863,36,-49.58116769413698,-85.58116769413698,85.58116769413698,7324.136263891995,510,1296,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,659,26,0,119,-7,1,518,519,523.4986785459566,1,5.498678545956636,4.498678545956636,4.498678545956636,20.23810865985051,518,1,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,648,-15,-18,117,-6,-42,544,502,519.0241183049724,-42,-24.97588169502762,17.02411830497238,17.02411830497238,289.8206040616955,544,1764,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,639,-19,-10,116,-7,-51,546,495,517.7456123143854,-51,-28.25438768561457,22.74561231438543,22.74561231438543,517.3628795563219,546,2601,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,627,-21,7,116,-7,-53,540,487,498.975379827068,-53,-41.02462017293203,11.97537982706797,11.97537982706797,143.4097220025464,540,2809,2,Validacao
2,2,Validacao,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,452,19,-3,101,17,155,336,491,461.9925262927048,155,125.9925262927048,-29.00747370729516,29.00747370729516,841.4335308794201,336,24025,2,Validacao
2,2,Validacao,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,461,16,5,106,27,122,367,489,505.0220523184677,122,138.0220523184677,16.02205231846767,16.02205231846767,256.7061604957153,367,14884,2,Validacao
2,2,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,475,23,13,114,35,99,387,486,521.3408454181096,99,134.3408454181096,35.34084541810955,35.34084541810955,1248.975354866715,387,9801,2,Validacao
2,2,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,493,32,16,119,40,89,400,489,532.4636496743346,89,132.4636496743346,43.46364967433465,43.46364967433465,1889.08884301329,400,7921,2,Validacao
2,2,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,511,36,17,121,41,70,426,496,587.952756014883,70,161.952756014883,91.952756014883,91.952756014883,8455.3093387326,426,4900,2,Validacao
2,2,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,525,32,14,123,35,62.39999999999998,446.6,509,584.010953161829,62.39999999999998,137.410953161829,75.01095316182898,75.01095316182898,5626.643094246101,446.6,3893.759999999997,2,Validacao
2,2,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,532,21,8,126,37,80,465,545,595.798453505756,80,130.798453505756,50.79845350575602,50.79845350575602,2580.482878576456,465,6400,2,Validacao
2,2,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,529,4,-3,128,38,142,483,625,606.3910718875071,142,123.3910718875071,-18.60892811249289,18.60892811249289,346.2922054959282,483,20164,2,Validacao
2,2,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,522,-10,-9,132,40,208,491,699,592.6583050002025,208,101.6583050002025,-106.3416949997975,106.3416949997975,11308.55609542995,491,43264,2,Validacao
2,2,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,520,-9,-6,138,44,281,489,770,580.5478447886925,281,91.54784478869249,-189.4521552113075,189.4521552113075,35892.11911420935,489,78961,2,Validacao
2,2,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,525,3,-2,142,46,348,486,834,587.390663360794,348,101.390663360794,-246.609336639206,246.609336639206,60816.16491762926,486,121104,2,Validacao
2,2,Validacao,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,545,25,-18,146,45,378,489,867,609.569365461177,378,120.569365461177,-257.430634538823,257.430634538823,66270.53159906107,489,142884,2,Validacao
2,2,Validacao,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,604,79,26,150,44,384,496,880,651.4109032834724,384,155.4109032834724,-228.5890967165276,228.5890967165276,52252.975137678,496,147456,2,Validacao
2,2,Validacao,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,709,164,93,153,39,377,509,886,712.6868592859066,377,203.6868592859066,-173.3131407140934,173.3131407140934,30037.44474418313,509,142129,2,Validacao
2,2,Validacao,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,800,196,84,156,37,343,545,888,804.5460965266705,343,259.5460965266705,-83.45390347332955,83.45390347332955,6964.554004935805,545,117649,2,Validacao
2,2,Validacao,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,875,166,66,158,37,263,625,888,959.6235320691217,263,334.6235320691217,71.62353206912167,71.62353206912167,5129.9303460565,625,69169,2,Validacao
2,2,Validacao,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,978,178,89,161,38,184,699,883,1023.736001833506,184,324.7360018335062,140.7360018335062,140.7360018335062,19806.62221208066,699,33856,2,Validacao
2,2,Validacao,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,1017,142,21,164,38,111,770,881,1048.62480869473,111,278.6248086947301,167.6248086947301,167.6248086947301,28098.07648994485,770,12321,2,Validacao
