EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_5a_nivel_86306000,inp05_input_5b_nivel_D-12H_86306000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,226,-26,479,-5,-19,105,-9,-17,398,381,372.7059959546199,-17,-25.29400404538012,-8.29400404538012,8.29400404538012,68.7905031047818,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,224,-23,477,-4,-14,104,-9,-13,395,382,372.9986983492928,-13,-22.00130165070721,-9.001301650707205,9.001301650707205,81.02343140702426,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,221,-17,471,-3,-33,106,-3,4,387,391,376.3536173606802,4,-10.64638263931977,-14.64638263931977,14.64638263931977,214.5165244173675,387,16,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,231,-3,470,2,11,139,33,13,381,394,422.6465340930421,13,41.64653409304208,28.64653409304208,28.64653409304208,820.6239155438221,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,235,3,474,6,12,142,36,12,382,394,432.6929720205369,12,50.6929720205369,38.6929720205369,38.6929720205369,1497.146083782051,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,364,142,478,3,5,148,29,111,394,505,471.3291722659379,111,77.32917226593793,-33.67082773406207,33.67082773406207,1133.724640296884,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,374,151,484,8,6,145,8,120,394,514,452.1425006857513,120,58.14250068575132,-61.85749931424868,61.85749931424868,3826.350221412276,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,380,153,497,19,15,143,4,126,394,520,448.6705713908049,126,54.67057139080487,-71.32942860919513,71.32942860919513,5087.887385714265,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,384,153,535,51,39,141,-1,128,396,524,451.1715539768292,128,55.17155397682916,-72.82844602317084,72.82844602317084,5303.982550149909,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,387,152,567,70,32,140,-3,122,404,526,465.6201970985771,122,61.62019709857714,-60.37980290142286,60.37980290142286,3645.720598414673,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,391,120,614,18,7,137,-14,19,505,524,533.865923730293,19,28.86592373029305,9.865923730293048,9.865923730293048,97.33645105195949,505,361,2,Validacao
1,2,Validacao,2023,5,6,16,0,202305061600,2023-05-06 16:00,520,6,20.44384615384615,390,71,622,8,4,136,-15,-1,520,519,520.7541969738683,-1,0.754196973868261,1.754196973868261,1.754196973868261,3.077207023128564,520,1,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,395,49,623,5,2,138,-10,-7,524,517,520.3142287432862,-7,-3.685771256713792,3.314228743286208,3.314228743286208,10.98411216282448,524,49,2,Validacao
