EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_7a_nivel_86472000,inp05_input_7b_nivel_D-2h_86472000,inp06_input_7c_nivel_A-14h_86472000,inp07_input_8a_nivel_86125130,inp08_input_8b_nivel_D-11h_86125130,inp09_input_12_nivel_D-2h_86472600,inp10_input_13_nivel_D-4h_86472600,inp11_input_16_nivel_A-1h_86472600,inp12_input_17_nivel_A-2h_86472600,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,479,-5,-19,105,-9,-9,-21,1,1,-17,398,381,377.9349077138904,-17,-20.06509228610958,-3.065092286109575,3.065092286109575,9.394790722368421,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,477,-4,-14,104,-9,-7,-17,1,2,-13,395,382,378.0997784654422,-13,-16.90022153455777,-3.900221534557772,3.900221534557772,15.21172801862819,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,471,-3,-33,106,-3,-5,-11,-1,0,4,387,391,385.6813973647021,4,-1.318602635297907,-5.318602635297907,5.318602635297907,28.28753399219784,387,16,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,469,-2,-5,113,4,-6,-11,0,-1,10,384,394,399.3040915619641,10,15.30409156196413,5.304091561964128,5.304091561964128,28.13338729769907,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,470,2,11,139,33,-1,-6,-1,1,13,381,394,454.5533716868814,13,73.5533716868814,60.55337168688141,60.55337168688141,3666.710822649611,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,474,6,12,142,36,0,-2,2,1,12,382,394,468.5601285525335,12,86.56012855253346,74.56012855253346,74.56012855253346,5559.212769770314,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,478,3,5,148,29,-1,0,1,0,111,394,505,467.9276693573159,111,73.92766935731595,-37.07233064268405,37.07233064268405,1374.357699280491,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,484,8,6,145,8,0,-1,0,1,120,394,514,435.6639400173785,120,41.66394001737854,-78.33605998262146,78.33605998262146,6136.538293600868,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,497,19,15,143,4,0,-1,0,0,126,394,520,431.7478645231932,126,37.74786452319324,-88.25213547680676,88.25213547680676,7788.439416216654,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,535,51,39,141,-1,2,2,2,2,128,396,524,441.0371823008961,128,45.03718230089612,-82.96281769910388,82.96281769910388,6882.829120574744,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,567,70,32,140,-3,10,10,6,8,122,404,526,464.327097974363,122,60.32709797436303,-61.67290202563697,61.67290202563697,3803.546844263817,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,614,18,7,137,-14,35,101,-9,-23,19,505,524,503.34736487283,19,-1.652635127170015,-20.65263512717002,20.65263512717002,426.5313376960168,505,361,2,Validacao
1,2,Validacao,2023,5,6,16,0,202305061600,2023-05-06 16:00,520,6,20.44384615384615,622,8,4,136,-15,15,50,-3,-7,-1,520,519,505.5136108092155,-1,-14.48638919078451,-13.48638919078451,13.48638919078451,181.8826934053092,520,1,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,623,5,2,138,-10,10,32,-2,-5,-7,524,517,513.3645473928168,-7,-10.6354526071832,-3.635452607183197,3.635452607183197,13.2165156590751,524,49,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,622,0,0,137,-8,6,21,-2,-4,-9,526,517,512.1566912338461,-9,-13.84330876615388,-4.843308766153882,4.843308766153882,23.45763980430304,526,81,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,621,-1,-3,134,-7,1,7,-1,-2,-3,527,524,510.3414755632256,-3,-16.65852443677443,-13.65852443677443,13.65852443677443,186.5552897899642,527,9,2,Validacao
