EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-21,479,-5,-19,29121,-12,381,398,381,386.6853697999844,-17,-11.31463020001559,5.685369799984414,5.685369799984414,32.32342976257482,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-18,477,-4,-14,29120,-14,382,395,382,388.4544586757165,-13,-6.545541324283477,6.454458675716523,6.454458675716523,41.6600367965323,395,169,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-20,469,-2,-5,29124,-14,394,384,394,405.2858284216105,10,21.28582842161052,11.28582842161052,11.28582842161052,127.3699231620318,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-18,470,2,11,29139,1,394,381,394,420.6552436809759,13,39.6552436809759,26.6552436809759,26.6552436809759,710.5020156922056,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-15,474,6,12,29149,10,394,382,394,433.4932795534183,12,51.49327955341835,39.49327955341835,39.49327955341835,1559.719129884452,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,81,478,3,5,29172,50,505,394,505,483.7318897936975,111,89.73188979369752,-21.26811020630248,21.26811020630248,452.3325117474278,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,90,484,8,6,29172,49,514,394,514,479.0353649213922,120,85.03536492139222,-34.96463507860778,34.96463507860778,1222.52570618021,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,99,497,19,15,29171,47,520,394,520,474.8383090282275,126,80.83830902822751,-45.16169097177249,45.16169097177249,2039.578331429876,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,535,51,39,29169,42,524,396,524,470.5443064337159,128,74.54430643371586,-53.45569356628414,53.45569356628414,2857.511174652472,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,107,567,70,32,29161,29,526,404,526,471.0160996706122,122,67.01609967061222,-54.98390032938778,54.98390032938778,3023.22929543205,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,14929,90,614,18,7,29159,-7,524,505,524,556.3314888350351,19,51.33148883503509,32.33148883503509,32.33148883503509,1045.325170289999,505,361,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,14925,44,623,5,2,29157,-16,517,524,517,537.2960818291544,-7,13.29608182915445,20.29608182915445,20.29608182915445,411.9309376157333,524,49,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,23,622,0,0,29157,-15,517,526,517,531.7795002137408,-9,5.779500213740789,14.77950021374079,14.77950021374079,218.433626567964,526,81,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,20,621,-1,-3,29156,-16,524,527,524,527.797937565947,-3,0.7979375659469952,3.797937565946995,3.797937565946995,14.42432975483139,527,9,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,27,619,-3,-8,29155,-17,533,526,533,526.3964876957635,7,0.3964876957635397,-6.60351230423646,6.60351230423646,43.60637475220233,526,49,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,31,615,-6,-17,29155,-16,543,524,543,524.7550482084955,19,0.7550482084955092,-18.24495179150449,18.24495179150449,332.8782658743229,524,361,2,Validacao
1,2,Validacao,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,14974,45,626,13,-4,29153,-9,552,517,552,522.615020100937,35,5.615020100937045,-29.38497989906296,29.38497989906296,863.477043668334,517,1225,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,36,669,28,10,29151,-7,510,533,510,517.4508229404277,-23,-15.54917705957234,7.450822940427656,7.450822940427656,55.51476248960302,533,529,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,51,678,9,0,29151,-6,497,553,497,536.0949731268524,-56,-16.90502687314756,39.09497312685244,39.09497312685244,1528.416923789314,553,3136,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,55,659,-18,-18,29149,-8,504,560,504,537.8253322966885,-56,-22.17466770331146,33.82533229668854,33.82533229668854,1144.153104981401,560,3136,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,57,633,-45,-26,29149,-8,518,562,518,535.5392836913965,-44,-26.46071630860354,17.53928369139646,17.53928369139646,307.6264724072859,562,1936,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,19,594,-11,-1,29145,-9,546,510,546,473.6342414466426,36,-36.36575855335741,-72.36575855335741,72.36575855335741,5236.803011002821,510,1296,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,14936,-36,659,26,0,29142,-10,519,518,519,488.9396010837943,1,-29.06039891620571,-30.06039891620571,30.06039891620571,903.6275830014216,518,1,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-48,648,-15,-18,29140,-11,502,544,502,492.0959676951317,-42,-51.90403230486834,-9.904032304868338,9.904032304868338,98.08985589587563,544,1764,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-67,639,-19,-10,29142,-9,495,546,495,509.314632491242,-51,-36.68536750875796,14.31463249124204,14.31463249124204,204.9087033593222,546,2601,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-73,627,-21,7,29144,-5,487,540,487,504.6036734960404,-53,-35.39632650395959,17.60367349604041,17.60367349604041,309.8893205551958,540,2809,2,Validacao
2,3,Teste,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,8,452,19,-3,28983,42,491,336,491,417.9047987358391,155,81.90479873583911,-73.09520126416089,73.09520126416089,5342.908447848188,336,24025,3,Teste
2,3,Teste,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,8,461,16,5,29011,73,489,367,489,435.5297955030869,122,68.52979550308692,-53.47020449691308,53.47020449691308,2859.062768941704,367,14884,3,Teste
2,3,Teste,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,24,475,23,13,29055,121,486,387,486,444.7677412100195,99,57.76774121001949,-41.23225878998051,41.23225878998051,1700.099164923925,387,9801,3,Teste
2,3,Teste,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,47,493,32,16,29114,184,489,400,489,487.9521707677527,89,87.9521707677527,-1.047829232247295,1.047829232247295,1.097946099951956,400,7921,3,Teste
2,3,Teste,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,82,511,36,17,29151,226,496,426,496,613.0490933581555,70,187.0490933581555,117.0490933581555,117.0490933581555,13700.49025596619,426,4900,3,Teste
2,3,Teste,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,114,525,32,14,29162,242,509,446.6,509,653.843807153972,62.39999999999998,207.2438071539719,144.843807153972,144.843807153972,20979.72847085702,446.6,3893.759999999997,3,Teste
2,3,Teste,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,155,532,21,8,29166,250,545,465,545,695.8654567578453,80,230.8654567578453,150.8654567578453,150.8654567578453,22760.3860427533,465,6400,3,Teste
2,3,Teste,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,201,529,4,-3,29167,252,625,483,625,743.4702632703655,142,260.4702632703655,118.4702632703655,118.4702632703655,14035.20327934972,483,20164,3,Teste
2,3,Teste,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,260,522,-10,-9,29168,251,699,491,699,762.6177708010665,208,271.6177708010665,63.61777080106651,63.61777080106651,4047.220761697031,491,43264,3,Teste
2,3,Teste,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,274,520,-9,-6,29170,249,770,489,770,747.4007363149062,281,258.4007363149062,-22.59926368509377,22.59926368509377,510.7267191083982,489,78961,3,Teste
2,3,Teste,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,275,525,3,-2,29174,247,834,486,834,753.3905680763961,348,267.3905680763961,-80.60943192360389,80.60943192360389,6497.88051504613,486,121104,3,Teste
2,3,Teste,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,288,545,25,-18,29176,241,867,489,867,779.8669108517047,378,290.8669108517047,-87.13308914829531,87.13308914829531,7592.175224524778,489,142884,3,Teste
2,3,Teste,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,15002,284,604,79,26,29180,233,880,496,880,781.6288683616422,384,285.6288683616422,-98.37113163835784,98.37113163835784,9676.879539811127,496,147456,3,Teste
2,3,Teste,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,15002,284,709,164,93,29184,221,886,509,886,776.4916525667409,377,267.4916525667409,-109.5083474332591,109.5083474332591,11992.07815756339,509,142129,3,Teste
2,3,Teste,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,14999,283,800,196,84,29188,205,888,545,888,848.8308002823694,343,303.8308002823694,-39.16919971763059,39.16919971763059,1534.226206519632,545,117649,3,Teste
2,3,Teste,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,15007,292,875,166,66,29191,180,888,625,888,977.5573186623704,263,352.5573186623704,89.55731866237045,89.55731866237045,8020.513325993366,625,69169,3,Teste
2,3,Teste,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,14993,264,978,178,89,29192,137,883,699,883,1044.468587907973,184,345.4685879079732,161.4685879079732,161.4685879079732,26072.10488099487,699,33856,3,Teste
2,3,Teste,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,14989,236,1017,142,21,29192,78,881,770,881,1079.440309414221,111,309.4403094142206,198.4403094142206,198.4403094142206,39378.55640041159,770,12321,3,Teste
2,3,Teste,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,14992,203,1027,49,-8,29192,41,877,834,877,1098.501807781535,43,264.5018077815353,221.5018077815353,221.5018077815353,49063.05085048819,834,1849,3,Teste
2,3,Teste,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,14994,171,1031,14,-10,29191,29,874,867,874,1051.678689364,7,184.6786893640003,177.6786893640003,177.6786893640003,31569.71665410892,867,49,3,Teste
2,3,Teste,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,14995,129,1036,9,-2,29191,25,881,880,881,963.2672518520325,1,83.26725185203247,82.26725185203247,82.26725185203247,6767.900727285741,880,1,3,Teste
2,3,Teste,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,14996,81,1036,5,3,29190,23,888,886,888,905.2263254924377,2,19.2263254924377,17.2263254924377,17.2263254924377,296.7462899714088,886,4,3,Teste
2,3,Teste,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,14999,21,1037,1,8,29189,21,893,888,893,850.5647292118686,5,-37.43527078813145,-42.43527078813145,42.43527078813145,1800.752206862042,888,25,3,Teste
2,3,Teste,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,15008,12,1029,-7,-6,29189,19,881,888,881,846.61467640109,-7,-41.38532359890996,-34.38532359890996,34.38532359890996,1182.350479001754,888,49,3,Teste
2,3,Teste,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,14988,-10,1027,-10,-7,29189,15,868,883,868,815.4984697687562,-15,-67.5015302312438,-52.50153023124381,52.50153023124381,2756.410676622207,883,225,3,Teste
2,3,Teste,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,14986,-22,1023,-6,-24,29188,12,856,881,856,818.9645962742773,-25,-62.03540372572274,-37.03540372572274,37.03540372572274,1371.621129127278,881,625,3,Teste
2,3,Teste,2023,6,16,20,0,202306162000,2023-06-16 20:00,877,-4,72.73587412587413,14981,-21,1026,-1,-56,29187,7,843,877,843,815.9534237950238,-34,-61.04657620497619,-27.04657620497619,27.04657620497619,731.5172844115842,877,1156,3,Teste
2,3,Teste,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,14976,-26,1054,31,-77,29185,1,822,874,822,809.5703905737311,-52,-64.42960942626894,-12.42960942626894,12.42960942626894,154.4951904895937,874,2704,3,Teste
2,3,Teste,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,14968,-31,1057,31,-88,29185,-3,801,881,801,837.2682411667948,-80,-43.73175883320516,36.26824116679484,36.26824116679484,1315.385317332792,881,6400,3,Teste
2,3,Teste,2023,6,16,23,0,202306162300,2023-06-16 23:00,888,7,64.91483682983682,14973,-34,1047,-7,-85,29185,-6,787,888,787,830.7515869853422,-101,-57.24841301465779,43.75158698534221,43.75158698534221,1914.201363735966,888,10201,3,Teste
2,3,Teste,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,14985,-8,1020,-37,-130,29183,-9,771,893,771,853.013465560162,-122,-39.98653443983801,82.01346556016199,82.01346556016199,6726.208533187877,893,14884,3,Teste
2,3,Teste,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,14991,2,1012,-35,-47,29182,-10,754,881,754,785.0225118050226,-127,-95.97748819497735,31.02251180502265,31.02251180502265,962.3962386927694,881,16129,3,Teste
2,3,Teste,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,14984,-8,996,-24,-26,29181,-11,742,868,742,770.1334807080824,-126,-97.8665192919176,28.1334807080824,28.1334807080824,791.4927367520447,868,15876,3,Teste
2,3,Teste,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,14998,4,975,-37,-25,29180,-11,735,856,735,766.895560673368,-121,-89.10443932663202,31.89556067336798,31.89556067336798,1017.326790668498,856,14641,3,Teste
2,3,Teste,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,15002,7,940,-56,-40,29179,-12,728,843,728,760.930095581949,-115,-82.06990441805101,32.93009558194899,32.93009558194899,1084.391195036296,843,13225,3,Teste
2,3,Teste,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,14990,2,877,-39,-12,29174,-15,681,771,681,690.1691156567562,-90,-80.83088434324384,9.169115656756162,9.169115656756162,84.07268192697099,771,8100,3,Teste
