EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,inp11_input_14_nivel_D-8h_86472600,inp12_input_15_nivel_D-12h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,148,-6,479,-5,-19,105,-9,-26,20,381,398,381,353.4676823569067,-17,-44.53231764309328,-27.53231764309328,27.53231764309328,758.0285148001855,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,147,-7,477,-4,-14,104,-9,-41,4,382,395,382,363.7845904034476,-13,-31.21540959655238,-18.21540959655238,18.21540959655238,331.8011467701724,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,146,-8,471,-3,-33,106,-3,-32,-37,391,387,391,376.5184993909445,4,-10.4815006090555,-14.4815006090555,14.4815006090555,209.7138598900749,387,16,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,148,-5,469,-2,-5,113,4,-28,-52,394,384,394,393.132942993244,10,9.132942993244,-0.8670570067559993,0.8670570067559993,0.751787852964673,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,157,8,470,2,11,139,33,-17,-38,394,381,394,363.2135100223273,13,-17.78648997767266,-30.78648997767266,30.78648997767266,947.807965145339,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,162,13,474,6,12,142,36,-13,-30,394,382,394,364.0923560108638,12,-17.9076439891362,-29.9076439891362,29.9076439891362,894.467168980915,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,221,68,478,3,5,148,29,12,10,505,394,505,384.1575346631361,111,-9.842465336863938,-120.8424653368639,120.8424653368639,14602.90142869116,394,12321,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,220,52,535,51,39,141,-1,5,15,524,396,524,404.7563123932241,128,8.756312393224107,-119.2436876067759,119.2436876067759,14219.05703406236,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,223,47,567,70,32,140,-3,10,22,526,404,526,416.9591439988496,122,12.95914399884964,-109.0408560011504,109.0408560011504,11889.90827746361,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,218,-6,614,18,7,137,-14,111,111,524,505,524,513.9448465497787,19,8.944846549778731,-10.05515345022127,10.05515345022127,101.1061109074967,505,361,2,Validacao
