EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,inp11_input_14_nivel_D-8h_86472600,inp12_input_15_nivel_D-12h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,148,-6,479,-5,-19,105,-9,-26,20,381,398,381,365.6307747801242,-15.36922521987583,15.36922521987583,236.2130838592672,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,147,-7,477,-4,-14,104,-9,-41,4,382,395,382,373.966978444499,-8.033021555501023,8.033021555501023,64.52943531114407,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,146,-8,471,-3,-33,106,-3,-32,-37,391,387,391,396.2879031420407,5.287903142040705,5.287903142040705,27.96191963960396,387,16,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,148,-5,469,-2,-5,113,4,-28,-52,394,384,394,408.8884889437732,14.88848894377315,14.88848894377315,221.6671030288555,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,157,8,470,2,11,139,33,-17,-38,394,381,394,372.1472305975826,-21.85276940241738,21.85276940241738,477.5435305552293,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,162,13,474,6,12,142,36,-13,-30,394,382,394,369.626612971015,-24.37338702898501,24.37338702898501,594.0619952646946,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,221,68,478,3,5,148,29,12,10,505,394,505,394.0185135585976,-110.9814864414024,110.9814864414024,12316.89033274317,394,12321,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,220,52,535,51,39,141,-1,5,15,524,396,524,403.8550842588598,-120.1449157411402,120.1449157411402,14434.80077844567,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,223,47,567,70,32,140,-3,10,22,526,404,526,410.5511404801839,-115.4488595198161,115.4488595198161,13328.43916442623,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,218,-6,614,18,7,137,-14,111,111,524,505,524,554.7036517962498,30.7036517962498,30.7036517962498,942.7142336253536,505,361,2,Validacao
1,2,Validacao,2023,5,6,16,0,202305061600,2023-05-06 16:00,520,6,20.44384615384615,236,15,622,8,4,136,-15,126,125,519,520,519,555.3465874206054,36.34658742060537,36.34658742060537,1321.074417123709,520,1,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,268,48,623,5,2,138,-10,128,130,517,524,517,557.5739622240501,40.57396222405009,40.57396222405009,1646.246410558644,524,49,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,298,78,622,0,0,137,-8,122,132,517,526,517,563.9102091161152,46.9102091161152,46.9102091161152,2200.567719317658,526,81,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,317,94,621,-1,-3,134,-7,57,133,524,527,524,542.5881079180544,18.58810791805445,18.58810791805445,345.5177559732384,527,9,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,309,86,615,-6,-17,133,-6,19,120,543,524,543,521.8778128864125,-21.12218711358753,21.12218711358753,446.146788461403,524,361,2,Validacao
1,2,Validacao,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,283,47,626,13,-4,131,-8,-9,12,552,517,552,533.3159728692747,-18.68402713072533,18.68402713072533,349.09286982168,517,1225,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,268,-47,669,28,10,126,-11,7,9,510,533,510,513.9473514766046,3.947351476604581,3.947351476604581,15.58158367985237,533,529,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,253,-56,659,-18,-18,123,-10,41,33,504,560,504,549.5674166709207,45.56741667092069,45.56741667092069,2076.389462061301,560,3136,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,248,-53,633,-45,-26,123,-10,45,36,518,562,518,558.0848342156613,40.08483421566132,40.08483421566132,1606.793934097052,562,1936,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,228,-51,594,-11,-1,122,-9,-23,-7,546,510,546,473.2191452583183,-72.78085474168165,72.78085474168165,5297.052816929764,510,1296,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,212,-47,659,26,0,119,-7,-44,-15,519,518,519,474.2793893630254,-44.72061063697458,44.72061063697458,1999.933015743884,518,1,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,203,-39,648,-15,-18,117,-6,23,-16,502,544,502,489.7848581065917,-12.21514189340826,12.21514189340826,149.2096914760975,544,1764,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,202,-35,639,-19,-10,116,-7,36,-16,495,546,495,488.8333835167733,-6.166616483226676,6.166616483226676,38.02715885120293,546,2601,2,Validacao
2,3,Teste,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,171,76,452,19,-3,101,17,69,89,491,336,491,386.8354348030886,-104.1645651969114,104.1645651969114,10850.25664266161,336,24025,3,Teste
2,3,Teste,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,235,135,475,23,13,114,35,118,125,486,387,486,468.8305814647381,-17.16941853526191,17.16941853526191,294.7889328389953,387,9801,3,Teste
2,3,Teste,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,268,166,493,32,16,119,40,130,134,489,400,489,505.7134876220177,16.71348762201774,16.71348762201774,279.3406684913401,400,7921,3,Teste
2,3,Teste,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,292,188,511,36,17,121,41,155,159,496,426,496,592.7007730549119,96.7007730549119,96.7007730549119,9351.039509417576,426,4900,3,Teste
2,3,Teste,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,314,205,525,32,14,123,35,169.6,178.6,509,446.6,509,634.9685701729934,125.9685701729934,125.9685701729934,15868.08067142836,446.6,3893.759999999997,3,Teste
2,3,Teste,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,330,215,532,21,8,126,37,180,196,545,465,545,676.1665621548667,131.1665621548667,131.1665621548667,17204.66702752651,465,6400,3,Teste
2,3,Teste,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,335,214,529,4,-3,128,38,180,213,625,483,625,709.6959736301554,84.69597363015544,84.69597363015544,7173.407949159985,483,20164,3,Teste
2,3,Teste,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,336,204,522,-10,-9,132,40,155,220,699,491,699,710.910256146224,11.91025614622401,11.91025614622401,141.8542014686669,491,43264,3,Teste
2,3,Teste,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,335,186,520,-9,-6,138,44,122,212,770,489,770,659.4235070513058,-110.5764929486942,110.5764929486942,12227.16079283261,489,78961,3,Teste
2,3,Teste,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,337,166,525,3,-2,142,46,99,201,834,486,834,649.5173505782509,-184.4826494217491,184.4826494217491,34033.84793766798,486,121104,3,Teste
2,3,Teste,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,341,139,545,25,-18,146,45,89,186,867,489,867,709.2462383185755,-157.7537616814245,157.7537616814245,24886.24932463968,489,142884,3,Teste
2,3,Teste,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,355,120,604,79,26,150,44,70,160,880,496,880,669.3068298949804,-210.6931701050196,210.6931701050196,44391.61192890272,496,147456,3,Teste
2,3,Teste,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,372,104,709,164,93,153,39,62.39999999999998,142,886,509,886,615.5270536545062,-270.4729463454938,270.4729463454938,73155.61470481238,509,142129,3,Teste
2,3,Teste,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,385,93,800,196,84,156,37,80,158,888,545,888,733.8439136537219,-154.1560863462781,154.1560863462781,23764.09895760116,545,117649,3,Teste
2,3,Teste,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,399,85,875,166,66,158,37,142,225,888,625,888,723.5739157926506,-164.4260842073494,164.4260842073494,27035.93716776235,625,69169,3,Teste
2,3,Teste,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,410,80,978,178,89,161,38,208,273,883,699,883,777.3149294661778,-105.6850705338222,105.6850705338222,11169.33413373898,699,33856,3,Teste
2,3,Teste,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,420,85,1017,142,21,164,38,281,323.4,881,770,881,807.4578379180665,-73.5421620819335,73.5421620819335,5408.449603685377,770,12321,3,Teste
2,3,Teste,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,430,94,1027,49,-8,167,39,348,369,877,834,877,722.7127816962725,-154.2872183037275,154.2872183037275,23804.54573190207,834,1849,3,Teste
2,3,Teste,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,468,131,1036,9,-2,168,30,384,389,881,880,881,861.3227599175099,-19.67724008249013,19.67724008249013,387.1937772639562,880,1,3,Teste
2,3,Teste,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,478,137,1036,5,3,169,27,377,397,888,886,888,880.7527079847636,-7.24729201523644,7.24729201523644,52.52324155410985,886,4,3,Teste
2,3,Teste,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,477,122,1037,1,8,169,23,343,402,893,888,893,851.382707533258,-41.61729246674201,41.61729246674201,1731.999032262342,888,25,3,Teste
2,3,Teste,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,468,96,1029,-7,-6,169,19,263,399,881,888,881,814.7047364513238,-66.29526354867619,66.29526354867619,4395.061968988434,888,49,3,Teste
2,3,Teste,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,458,73,1027,-10,-7,168,15,184,387,868,883,868,738.6715331608597,-129.3284668391403,129.3284668391403,16725.85233496262,883,225,3,Teste
2,3,Teste,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,447,48,1023,-6,-24,167,11,111,372,856,881,856,715.2152270943309,-140.7847729056691,140.7847729056691,19820.35228210082,881,625,3,Teste
2,3,Teste,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,423,3,1054,31,-77,165,4,7,249,822,874,822,736.9975462037238,-85.0024537962762,85.0024537962762,7225.41715138807,874,2704,3,Teste
2,3,Teste,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,410,-20,1057,31,-88,163,-1,1,182,801,881,801,768.9136954828866,-32.08630451711338,32.08630451711338,1029.53093756493,881,6400,3,Teste
2,3,Teste,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,389,-79,1020,-37,-130,162,-6,5,59,771,893,771,779.3311661715514,8.331166171551445,8.331166171551445,69.40832977800315,893,14884,3,Teste
