EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
1,1,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-21,479,-5,-19,29121,-12,381,398,380.053800198778,-0.946199801221951,0.946199801221951,0.8952940638324596,289,398,381
1,1,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-18,477,-4,-14,29120,-14,382,395,379.4498685995737,-2.550131400426267,2.550131400426267,6.503170159440033,169,395,382
1,1,Teste,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-20,469,-2,-5,29124,-14,394,384,390.6914006844859,-3.30859931551413,3.30859931551413,10.94682943062057,100,384,394
1,1,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-18,470,2,11,29139,1,394,381,403.7979234786957,9.79792347869568,9.79792347869568,95.99930449437605,169,381,394
1,1,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-15,474,6,12,29149,10,394,382,417.172879607695,23.17287960769499,23.17287960769499,536.9823493127266,144,382,394
1,1,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,81,478,3,5,29172,50,505,394,487.5981707117716,-17.40182928822844,17.40182928822844,302.8236625766452,12321,394,505
1,1,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,90,484,8,6,29172,49,514,394,488.3650169735031,-25.63498302649691,25.63498302649691,657.1523547687848,14400,394,514
1,1,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,99,497,19,15,29171,47,520,394,488.5717998001478,-31.4282001998522,31.4282001998522,987.7317678019898,15876,394,520
1,1,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,535,51,39,29169,42,524,396,489.9294011860459,-34.07059881395412,34.07059881395412,1160.805703541412,16384,396,524
1,1,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,107,567,70,32,29161,29,526,404,484.0903260744839,-41.90967392551613,41.90967392551613,1756.420768543087,14884,404,526
1,1,Teste,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,14929,90,614,18,7,29159,-7,524,505,551.5440778849089,27.54407788490892,27.54407788490892,758.6762265299284,361,505,524
1,1,Teste,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,14925,44,623,5,2,29157,-16,517,524,531.8190526938344,14.81905269383435,14.81905269383435,219.6043227426391,49,524,517
1,1,Teste,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,23,622,0,0,29157,-15,517,526,526.8547385013859,9.854738501385896,9.854738501385896,97.11587093069753,81,526,517
1,1,Teste,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,20,621,-1,-3,29156,-16,524,527,524.9070096089124,0.9070096089124036,0.9070096089124036,0.8226664306594312,9,527,524
1,1,Teste,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,27,619,-3,-8,29155,-17,533,526,523.9600751047641,-9.039924895235913,9.039924895235913,81.72024211150604,49,526,533
1,1,Teste,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,31,615,-6,-17,29155,-16,543,524,522.5332429177232,-20.46675708227679,20.46675708227679,418.888145464927,361,524,543
1,1,Teste,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,14974,45,626,13,-4,29153,-9,552,517,519.3776319029488,-32.62236809705121,32.62236809705121,1064.218900259504,1225,517,552
1,1,Teste,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,36,669,28,10,29151,-7,510,533,513.9730899105497,3.973089910549675,3.973089910549675,15.78544343731162,529,533,510
1,1,Teste,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,51,678,9,0,29151,-6,497,553,526.7608286308678,29.76082863086776,29.76082863086776,885.7069207958784,3136,553,497
1,1,Teste,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,55,659,-18,-18,29149,-8,504,560,527.0150684482629,23.01506844826292,23.01506844826292,529.6933756782275,3136,560,504
1,1,Teste,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,57,633,-45,-26,29149,-8,518,562,536.1343443602176,18.1343443602176,18.1343443602176,328.8544453749557,1936,562,518
