EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_16_nivel_A-1h_86472600,inp10_input_17_nivel_A-2h_86472600,inp11_input_18_nivel_A-4h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
1,1,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-21,479,-5,-19,1,1,4,381,398,380.2018708158367,-0.7981291841632583,0.7981291841632583,0.6370101946131083,289,398,381
1,1,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-18,477,-4,-14,1,2,4,382,395,380.3972401370582,-1.602759862941753,1.602759862941753,2.568839178257065,169,395,382
1,1,Teste,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-20,469,-2,-5,0,-1,0,394,384,378.0310105997677,-15.96898940023232,15.96898940023232,255.0086224647321,100,384,394
1,1,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-18,470,2,11,-1,1,2,394,381,377.3626847141742,-16.63731528582582,16.63731528582582,276.8002599199735,169,381,394
1,1,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-15,474,6,12,2,1,4,394,382,386.3413822612243,-7.658617738775661,7.658617738775661,58.65442566868921,144,382,394
1,1,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,81,478,3,5,1,0,-3,505,394,422.2777342451755,-82.72226575482455,82.72226575482455,6842.973251611818,12321,394,505
1,1,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,90,484,8,6,0,1,-1,514,394,422.5514747120237,-91.44852528797628,91.44852528797628,8362.832777345637,14400,394,514
1,1,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,99,497,19,15,0,0,0,520,394,429.0893807489954,-90.91061925100462,90.91061925100462,8264.740692601132,15876,394,520
1,1,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,535,51,39,2,2,3,524,396,456.8888105714441,-67.11118942855592,67.11118942855592,4503.911746515516,16384,396,524
1,1,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,107,567,70,32,6,8,8,526,404,488.7650385583255,-37.2349614416745,37.2349614416745,1386.442353562987,14884,404,526
